Exercise,Category,Type,Goal,Sets/Duration,Reps
HM Hollow Hold,Core,gym,general fitness,3,12
HM Inchworm,Core,gym,general fitness,3,12
HM Right Side Hollow Hold with Pulse,Core,gym,general fitness,3,12
HM Reverse Crunch with Frisbee,Core,gym,general fitness,3,12
HM Left Side Bird-Dog,Core,gym,general fitness,3,12
HM Left Side Crunch,Core,gym,general fitness,3,12
HM Left Side Hollow Hold With Pulse,Core,gym,general fitness,3,12
HM Reverse Crunch,Core,gym,general fitness,3,12
HM Low Lunge With External Twist And Arm Reach,Core,gym,general fitness,3,12
HM Mountain Climber,Core,gym,general fitness,3,12
HM Prison Sit-Up,Core,gym,general fitness,3,12
HM Plank Alternating Hip-Dip,Core,gym,general fitness,3,12
HM Tuck-Up Get-Up,Core,gym,general fitness,3,12
HM Flutter Kick,Core,gym,general fitness,3,12
HM Plank,Core,gym,general fitness,3,12
McGill Pull-Up,Core,gym,general fitness,3,12
AM Leg Lift,Core,gym,general fitness,3,12
AM Decline Abs,Core,gym,general fitness,3,12
Hanging crunch,Core,gym,general fitness,3,12
Tyler Holt Hanging Toes-To-Bar,Core,gym,general fitness,3,12
Side plank,Core,gym,general fitness,3,12
Bird dog-,Core,gym,general fitness,3,12
Single-leg curl up,Core,gym,general fitness,3,12
Single-kettlebell windmill,Core,gym,general fitness,3,12
UNS Foam Roll Thigh,Core,gym,general fitness,3,12
UNS Inverted row,Core,gym,general fitness,3,12
UNS T-spine rotation with reach,Core,gym,general fitness,3,12
UNS Quadruped thoracic rotation,Core,gym,general fitness,3,12
UNS Pec stretch,Core,gym,general fitness,3,12
UNS Lat stretch,Core,gym,general fitness,3,12
UNS Foam Roll,Core,gym,general fitness,3,12
UNS Foam Roll Lats,Core,gym,general fitness,3,12
UNS Rocking Adductor Stretch,Core,gym,general fitness,3,12
UNS Bird Dog,Core,gym,general fitness,3,12
UNS Jumping Jack,Core,gym,general fitness,3,12
Ab wheel roll-out,Core,gym,general fitness,3,12
Bench mountain climber,Core,gym,general fitness,3,12
Feet-elevated bench side plank,Core,gym,general fitness,3,12
Cross-body sit-up,Core,gym,general fitness,3,12
Decline kayak,Core,gym,general fitness,3,12
30 Decline Reverse Crunch,Core,gym,general fitness,3,12
Decline sit-up twist,Core,gym,general fitness,3,12
30 Flat Bench Leg Raise,Core,gym,general fitness,3,12
30 Flutter Kick,Core,gym,general fitness,3,12
Chin-up crunch,Core,gym,general fitness,3,12
30 Gorilla Chin Oblique Crunch,Core,gym,general fitness,3,12
Half Turkish get-up,Core,gym,general fitness,3,12
30 Hanging Oblique Crunch,Core,gym,general fitness,3,12
30 Hollow-Body Hold,Core,gym,general fitness,3,12
Parallel bars knee raise,Core,gym,general fitness,3,12
30 Landmine Twist,Core,gym,general fitness,3,12
Parallel bars leg raise,Core,gym,general fitness,3,12
Otis-up-,Core,gym,general fitness,3,12
30 Shoulder Tap,Core,gym,general fitness,3,12
30 Spider Crawl,Core,gym,general fitness,3,12
Spider crunch,Core,gym,general fitness,3,12
Toe-touch,Core,gym,general fitness,3,12
30 Hanging Toes-To-Bar,Core,gym,general fitness,3,12
30 V-Up,Core,gym,general fitness,3,12
Cocoon crunch,Core,gym,general fitness,3,12
Bench oblique crunch,Core,gym,general fitness,3,12
Full moon-,Core,gym,general fitness,3,12
Push-up to side plank,Core,gym,general fitness,3,12
Tyler Holt V-Up,Core,gym,general fitness,3,12
Tyler Holt Plank,Core,gym,general fitness,3,12
Tyler Holt Hip-Dip,Core,gym,general fitness,3,12
Suicides,Core,gym,general fitness,3,12
Holman Towel Straight Plank Jack,Core,gym,general fitness,3,12
Holman Towel Hill Climber,Core,gym,general fitness,3,12
Holman Towel Elbow Plank Jack,Core,gym,general fitness,3,12
Holman Towel Elbow Plank Pike,Core,gym,general fitness,3,12
Holman Towel Straight Plank Hand Reach,Core,gym,general fitness,3,12
Holman Towel Wax-On Wax-Off,Core,gym,general fitness,3,12
Holman Towel Wide Hill Climber,Core,gym,general fitness,3,12
Holman Towel Dirty Dog,Core,gym,general fitness,3,12
Holman Straight Plank Shoulder Tap,Core,gym,general fitness,3,12
Holman Killer Abs,Core,gym,general fitness,3,12
Holman Straight Plank Split Jack,Core,gym,general fitness,3,12
Holman Elbow Plank Swim,Core,gym,general fitness,3,12
Holman Elbow Plank Saw,Core,gym,general fitness,3,12
Holman Feet-Elevated Straight Plank Toe-Tap Series,Core,gym,general fitness,3,12
Holman Elbow Plank Pike Pull,Core,gym,general fitness,3,12
Holman Hand-Elevated Walk-Over Push-Up,Core,gym,general fitness,3,12
Holman Hands-Elevated Hill Climber,Core,gym,general fitness,3,12
Holman Seated Pike,Core,gym,general fitness,3,12
Holman Feet-Elevated Up-Down Plank,Core,gym,general fitness,3,12
Holman Feet-Elevated Hand Tap,Core,gym,general fitness,3,12
Holman Reverse Straight Plank with Alternating Heel Pull-In,Core,gym,general fitness,3,12
Holman Elbow Plank,Core,gym,general fitness,3,12
Holman Straight Plank Squat Thrust,Core,gym,general fitness,3,12
Holman Alternating Single-Leg Pike,Core,gym,general fitness,3,12
Holman Knee Pull-In Crunch,Core,gym,general fitness,3,12
Holman Straight Plank with Hand Tap,Core,gym,general fitness,3,12
Holman Straight Plank with Dirty Dog,Core,gym,general fitness,3,12
Holman Elbow Plank Roll,Core,gym,general fitness,3,12
Holman Froggy Push-Up,Core,gym,general fitness,3,12
Holman Straight Plank Hand Tap to Shoulder Tap,Core,gym,general fitness,3,12
Holman In-Out Straight Plank,Core,gym,general fitness,3,12
Holman Bicycle,Core,gym,general fitness,3,12
Holman Alternating Diagonal Knee Pull-in,Core,gym,general fitness,3,12
Holman Elbow Plank with Step-Out,Core,gym,general fitness,3,12
Holman Alternating Slow L-Raise,Core,gym,general fitness,3,12
Holman Feet-Elevated Plank with Shoulder Tap,Core,gym,general fitness,3,12
Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up,Core,gym,general fitness,3,12
Holman Feet-Elevated Up-Down Elbow Plank,Core,gym,general fitness,3,12
Holman Feet-Elevated Plank Pike Pull,Core,gym,general fitness,3,12
Holman Feet-Elevated Alternating Single-Leg Hip Raise,Core,gym,general fitness,3,12
Holman Feet-Elevated Plank Pike Pull to Push-Up,Core,gym,general fitness,3,12
Holman Standing Heel Click,Core,gym,general fitness,3,12
Holman Straight Plank Right-Left Jack to Split Jack,Core,gym,general fitness,3,12
Holman Elbow Plank Jack to Ninja Knees,Core,gym,general fitness,3,12
Holman Right Side Elbow Plank with Left Leg Swing,Core,gym,general fitness,3,12
Holman Left Side Elbow Plank with Right Leg Swing,Core,gym,general fitness,3,12
Holman Straight Plank with Alternating Diagonal Sit-Back,Core,gym,general fitness,3,12
Holman Boat Press with Leg Extension,Core,gym,general fitness,3,12
Holman Shoulder Tap to Dirty Dog,Core,gym,general fitness,3,12
Holman Standing Russian Twist,Core,gym,general fitness,3,12
Holman Hovering Plank with Shoulder Tap,Core,gym,general fitness,3,12
Holman Elbow Plank to Stacked Plank Hip Drop,Core,gym,general fitness,3,12
Holman Elbow Plank to Walk-Up Pike,Core,gym,general fitness,3,12
